source,target,value
40-60,10-15,43
40-60,15-20,15
40-60,5-10,53
40-60,<5,43
40-60,>20,18
60-80,10-15,22
60-80,15-20,8
60-80,5-10,26
60-80,<5,11
60-80,>20,19
<40,10-15,9
<40,15-20,4
<40,5-10,11
<40,<5,19
<40,>20,3
>80,10-15,1
>80,5-10,8
>80,<5,6
>80,>20,1
Blues,40-60,1
Classical,40-60,1
Classical,60-80,3
Country,40-60,10
Country,60-80,4
Country,<40,5
Country,>80,3
EDM,40-60,1
Hip Hop,40-60,16
Hip Hop,60-80,17
Hip Hop,<40,3
Hip Hop,>80,6
Jazz,60-80,1
Pop,40-60,79
Pop,60-80,24
Pop,<40,29
Pop,>80,4
R&B,40-60,12
R&B,60-80,8
R&B,<40,1
Rock,40-60,48
Rock,60-80,28
Rock,<40,7
Rock,>80,3
World,40-60,4
World,60-80,1
World,<40,1
